Chapter,Chapter Name,Subtopic,Subtopic Name,Question Number,Question (verbatim),Answer (verbatim),AO,Marks,Strategy,Paper Code
8,Databases,8.1,Flat vs Relational,Q8(a),Explain the differences between a flat file database and a relational database.,Flat file = single table; Relational = multiple linked tables with primary/foreign keys.,AO1,2,Command word = Explain → Give point + brief reason. Provide 2 distinct explanations.,0417_m20_qp_12
8,Databases,8.2,Relationships,Q8(b),Describe the steps needed to create a relational database from teacher + subject files.,Import into separate tables; set primary key in teacher file; foreign key in subject file; define relationship; save.,AO2,4,"Command word = Describe → Provide step-by-step detail, covering 4 valid points.",0417_m20_qp_12
9,Document Processing,9.1,Page Layout,Q9,"Tick (✓) whether the statements refer to header, footer or margin.",Header: text at top; Footer: text at bottom; Margin: space between content and page edge; Extra space between facing pages.,AO1,4,Command word = Identify/State/Name → Give 4 distinct points with no extra detail.,0417_m20_qp_12
10,Communication,10.1,Cell phone vs VoIP,Q10(a),Describe the benefits of using each of these communication methods (cell phone vs VoIP).,"Cell phone: send texts anytime, not timezone dependent, capture/send images/audio. VoIP: works on any internet device, use hotspots, send live video.",AO2,4,"Command word = Describe → Provide step-by-step detail, covering 4 valid points.",0417_m20_qp_12
10,Communication,10.2,Online Banking,Q10(b),Identify one type of transaction they cannot do using online banking.,Pay/withdraw cash.,AO1,1,Command word = Identify/State/Name → Give 1 distinct point with no extra detail.,0417_m20_qp_12
10,Security,10.3,Authentication,Q10(c),Tick (✓) whether the examples are appropriate security questions.,"Appropriate: mother’s maiden name, town of birth. Not appropriate: age, PIN.",AO1,2,Command word = Identify/State/Name → Give 2 distinct points with no extra detail.,0417_m20_qp_12
10,Communication,10.2,Online Banking,Q10(d),Give three benefits of using online banking in this scenario.,Saves time/money on transport; 24/7 access; Faster transfers; Reduced robbery risk; Language choice.,AO2,3,Command word = Give/Describe → Provide 3 valid benefits with short explanations.,0417_m20_qp_12
10,Communication,10.2,Online Banking,Q10(e),Give two drawbacks of using online banking in this scenario.,Unstable internet; Errors; Remote area lack of facilities; Security issues; Cash still needed.,AO2,2,Command word = Give/Describe → Provide 2 valid drawbacks with short explanations.,0417_m20_qp_12
11,Impact of ICT,11.1,Employment,Q11,Discuss how robots in car production have affected employment.,"Fewer factory workers, de-skilling; Robots work 24/7; Need for supervisors, engineers, programmers, maintenance staff; More part-time/flexible work.",AO3,6,"Command word = Discuss → Provide balanced advantages & disadvantages with examples, covering 6 points.",0417_m20_qp_12
12,Security,12.1,Secure Websites,Q12(a),Describe the features of a web page that identify it as using a secure server.,HTTPS; Closed/green padlock; SSL certificate; EV/CA certificate.,AO1,4,"Command word = Describe → Provide step-by-step detail, covering 4 valid points.",0417_m20_qp_12
12,Security,12.2,Cyber Threats,Q12(b),Compare and contrast smishing and pharming.,"Pharming: malicious code redirects to fake site, steals data, stopped by avoiding downloads. Smishing: fake texts ask to reply/call/click link, stopped by ignoring. Both steal personal data via fake sites/messages.",AO3,6,Command word = Compare/Contrast → Mention similarities & differences. Give 6 clear points.,0417_m20_qp_12
13,Applications of ICT,13.1,Presentations vs Leaflets,Q13(a),Discuss the advantages and disadvantages of using a multimedia presentation rather than printed leaflets.,"Advantages: multimedia (sound/video), interactive, hyperlinks, cheaper (no printing), accessible, easy to update. Disadvantages: equipment failure, distraction, need audience presence, accessibility limits.",AO3,8,"Command word = Discuss → Provide balanced advantages & disadvantages with examples, covering 8 points.",0417_m20_qp_12
13,Applications of ICT,13.2,Multimedia Presentation,Q13(b),Explain the steps to insert an image into a multimedia presentation slide.,"Open presentation, upload/import image, select slide, insert/place image, edit if needed, save.",AO2,4,Command word = Explain → Give point + brief reason. Provide 4 distinct explanations.,0417_m20_qp_12
13,Applications of ICT,13.2,Multimedia Presentation,Q13(c),Explain why the words ‘company logo’ may be displayed instead of the image.,Image not in same folder; Wrong filename/extension; Image missing; Software doesn’t support extension.,AO2,2,Command word = Explain → Give point + brief reason. Provide 2 distinct explanations.,0417_m20_qp_12
